Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420243161.838152647;-82.4915008544921875;-84.3425140380859375
1420244160.8391516209;-82.340423583984375;-85.11748504638671875
1420245159.8401505947;-83.40821075439453125;-86.44190216064453125
1420246158.8411495686;-86.2066802978515625;-88.4738006591796875
1420247157.8421485424;-86.917205810546875;-90.18685150146484375
1420248156.8431475163;-86.6932525634765625;-89.98433685302734375
1420249155.8441464901;-85.64057159423828125;-87.7272796630859375
1420250154.8451454639;-80.1845245361328125;-89.75519561767578125
1420251153.8461444378;-67.75638580322265625;-75.476959228515625
1420252152.8471434116;-59.345592498779296875;-64.56400299072265625
1420253151.8481423855;-54.110668182373046875;-54.110668182373046875
1420254150.8491413593;-51.677215576171875;-51.677215576171875
1420255149.8501403332;-51.459758758544921875;-51.459758758544921875
1420256148.851139307;-52.579273223876953125;-52.579273223876953125
1420257147.8521382809;-56.447612762451171875;-56.447612762451171875
1420258146.8531372547;-63.384185791015625;-70.28229522705078125
1420259145.8541362286;-74.7862701416015625;-85.9373321533203125
1420260144.8551352024;-81.7528839111328125;-86.13607025146484375
1420261143.8561341763;-81.413360595703125;-84.94561004638671875
1420262142.8571331501;-82.43627166748046875;-84.00519561767578125
1420263141.8581321239;-82.61962127685546875;-87.51995086669921875
1420264140.8591310978;-83.164581298828125;-93.53121185302734375
1420265139.8601300716;-83.922332763671875;-93.84888458251953125
1420266138.8611290455;-83.4117431640625;-87.82395172119140625
1420267137.8621280193;-83.82384490966796875;-86.5946044921875
1420268136.8631269932;-83.78586578369140625;-88.3545379638671875
1420269135.864125967;-81.777984619140625;-89.9623870849609375
1420270134.8651249409;-82.04572296142578125;-92.524688720703125
1420271133.8661239147;-84.66194915771484375;-87.18434906005859375
1420272132.8671228886;-83.89478302001953125;-86.006927490234375
1420273131.8681218624;-84.092010498046875;-85.3731689453125
1420274130.8691208363;-83.52161407470703125;-86.91606903076171875
