Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;0.000000;dBm
Level Offset;0.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;10000.000000;Hz
VBW;10000.000000;Hz
SWT;0.000419;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420275129.8701198101;-104.59923553466796875;-104.59923553466796875
1420276128.871118784;-103.81805419921875;-103.81805419921875
1420277127.8721177578;-103.28020477294921875;-103.28020477294921875
1420278126.8731167316;-102.9971923828125;-102.9971923828125
1420279125.8741157055;-102.9702911376953125;-102.9702911376953125
1420280124.8751146793;-103.195648193359375;-103.195648193359375
1420281123.8761136532;-103.6654052734375;-103.6654052734375
1420282122.877112627;-104.365264892578125;-104.365264892578125
1420283121.8781116009;-105.26882171630859375;-105.26882171630859375
1420284120.8791105747;-106.3281707763671875;-106.3281707763671875
1420285119.8801095486;-107.462799072265625;-107.462799072265625
1420286118.8811085224;-108.55779266357421875;-108.55779266357421875
1420287117.8821074963;-109.49224090576171875;-109.49224090576171875
1420288116.8831064701;-110.2026824951171875;-110.2026824951171875
1420289115.884105444;-110.726165771484375;-110.726165771484375
1420290114.8851044178;-111.1653900146484375;-111.1653900146484375
1420291113.8861033916;-111.6087799072265625;-111.6087799072265625
1420292112.8871023655;-112.06105804443359375;-112.06105804443359375
1420293111.8881013393;-112.409149169921875;-112.409149169921875
1420294110.8891003132;-112.4477081298828125;-112.4477081298828125
1420295109.890099287;-112.02713775634765625;-112.02713775634765625
1420296108.8910982609;-111.21309661865234375;-111.21309661865234375
1420297107.8920972347;-110.2297210693359375;-110.2297210693359375
1420298106.8930962086;-109.28662872314453125;-109.28662872314453125
1420299105.8940951824;-108.50513458251953125;-108.50513458251953125
1420300104.8950941563;-107.934173583984375;-107.934173583984375
1420301103.8960931301;-107.57955169677734375;-107.57955169677734375
1420302102.897092104;-107.42010498046875;-107.42010498046875
1420303101.8980910778;-107.41275787353515625;-107.41275787353515625
1420304100.8990900517;-107.4917449951171875;-107.4917449951171875
1420305099.9000890255;-107.571441650390625;-107.571441650390625
1420306098.9010879993;-107.5635986328125;-107.5635986328125
1420307097.9020869732;-107.4113922119140625;-107.4113922119140625
1420308096.903085947;-107.1201171875;-107.1201171875
1420309095.9040849209;-106.75421142578125;-106.75421142578125
1420310094.9050838947;-106.40338897705078125;-106.40338897705078125
1420311093.9060828686;-106.14891815185546875;-106.14891815185546875
1420312092.9070818424;-106.0477447509765625;-106.0477447509765625
1420313091.9080808163;-106.12923431396484375;-106.12923431396484375
1420314090.9090797901;-106.39496612548828125;-106.39496612548828125
1420315089.910078764;-106.81417083740234375;-106.81417083740234375
1420316088.9110777378;-107.31562042236328125;-107.31562042236328125
1420317087.9120767117;-107.78472137451171875;-107.78472137451171875
1420318086.9130756855;-108.087554931640625;-108.087554931640625
1420319085.9140746593;-108.132476806640625;-108.132476806640625
1420320084.9150736332;-107.92278289794921875;-107.92278289794921875
1420321083.916072607;-107.53631591796875;-107.53631591796875
1420322082.9170715809;-107.058349609375;-107.058349609375
1420323081.9180705547;-106.5378265380859375;-106.5378265380859375
1420324080.9190695286;-105.988983154296875;-105.988983154296875
1420325079.9200685024;-105.41471099853515625;-105.41471099853515625
1420326078.9210674763;-104.8283538818359375;-104.8283538818359375
1420327077.9220664501;-104.25934600830078125;-104.25934600830078125
1420328076.923065424;-103.7464599609375;-103.7464599609375
1420329075.9240643978;-103.325714111328125;-103.325714111328125
1420330074.9250633717;-103.025665283203125;-103.025665283203125
1420331073.9260623455;-102.8726654052734375;-102.8726654052734375
1420332072.9270613194;-102.914581298828125;-102.914581298828125
1420333071.9280602932;-103.274200439453125;-103.274200439453125
1420334070.929059267;-104.27478790283203125;-104.27478790283203125
1420335069.9300582409;-106.79264068603515625;-106.79264068603515625
1420336068.9310572147;-111.5509490966796875;-111.5509490966796875
1420337067.9320561886;-103.135955810546875;-103.135955810546875
1420338066.9330551624;-94.746734619140625;-94.746734619140625
1420339065.9340541363;-88.50684356689453125;-88.50684356689453125
1420340064.9350531101;-83.36727142333984375;-83.36727142333984375
1420341063.936052084;-78.93370819091796875;-78.93370819091796875
1420342062.9370510578;-75.03020477294921875;-75.03020477294921875
1420343061.9380500317;-71.56912994384765625;-71.56912994384765625
1420344060.9390490055;-68.498931884765625;-68.498931884765625
1420345059.9400479794;-65.76384735107421875;-65.76384735107421875
1420346058.9410469532;-63.34232330322265625;-63.34232330322265625
1420347057.942045927;-61.21681976318359375;-61.21681976318359375
1420348056.9430449009;-59.373027801513671875;-59.373027801513671875
1420349055.9440438747;-57.79924774169921875;-57.79924774169921875
1420350054.9450428486;-56.485996246337890625;-56.485996246337890625
1420351053.9460418224;-55.42568206787109375;-55.42568206787109375
1420352052.9470407963;-54.612361907958984375;-54.612361907958984375
1420353051.9480397701;-54.04160308837890625;-54.04160308837890625
1420354050.949038744;-53.71031951904296875;-53.71031951904296875
1420355049.9500377178;-53.616729736328125;-53.616729736328125
1420356048.9510366917;-53.760284423828125;-53.760284423828125
1420357047.9520356655;-54.141632080078125;-54.141632080078125
1420358046.9530346394;-54.762653350830078125;-54.762653350830078125
1420359045.9540336132;-55.62648773193359375;-55.62648773193359375
1420360044.9550325871;-56.737560272216796875;-56.737560272216796875
1420361043.9560315609;-58.10166168212890625;-58.10166168212890625
1420362042.9570305347;-59.7260284423828125;-59.7260284423828125
1420363041.9580295086;-61.61937713623046875;-61.61937713623046875
1420364040.9590284824;-63.7918853759765625;-63.7918853759765625
1420365039.9600274563;-66.2549896240234375;-66.2549896240234375
1420366038.9610264301;-69.0208282470703125;-69.0208282470703125
1420367037.962025404;-72.110137939453125;-72.110137939453125
