Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420300000.000000;Hz
Freq Offset;0.000000;Hz
Start;1418400000.000000;Hz
Stop;1422200000.000000;Hz
Span;3800000.000000;Hz
Ref Level;1.857600;dBm
Level Offset;0.000000;dB
Rf Att;11.000000;dB
El Att;0.000000;dB
RBW;50000.000000;Hz
VBW;50000.000000;Hz
SWT;0.001010;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;75.000000;%
Level Range;90.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1419472427.572412014;-93.8863677978515625;-93.8863677978515625
1419476223.7762081623;-94.0815582275390625;-94.0815582275390625
1419480019.9800043106;-94.28124237060546875;-94.28124237060546875
1419483816.1838004589;-95.46997833251953125;-95.46997833251953125
1419487612.3875966072;-94.80150604248046875;-94.80150604248046875
1419491408.5913927555;-89.565948486328125;-94.80149078369140625
1419495204.7951889038;-85.29488372802734375;-85.29488372802734375
1419499000.9989850521;-82.04033660888671875;-82.04033660888671875
1419502797.2027812004;-79.79189300537109375;-79.79189300537109375
1419506593.4065773487;-78.32331085205078125;-78.32331085205078125
1419510389.610373497;-77.49544525146484375;-77.49544525146484375
1419514185.8141696453;-77.350433349609375;-77.350433349609375
1419517982.0179657936;-77.3936767578125;-77.3936767578125
1419521778.2217619419;-77.9301910400390625;-77.9301910400390625
1419525574.4255580902;-79.256317138671875;-79.256317138671875
1419529370.6293542385;-81.46739959716796875;-81.46739959716796875
1419533166.8331503868;-84.5062255859375;-84.5062255859375
1419536963.0369465351;-85.81244659423828125;-85.81244659423828125
1419540759.2407426834;-83.2001190185546875;-83.2001190185546875
1419544555.4445388317;-81.329864501953125;-81.329864501953125
1419548351.64833498;-80.3625640869140625;-80.3625640869140625
1419552147.8521311283;-80.2013397216796875;-80.2013397216796875
1419555944.0559272766;-80.22132110595703125;-80.22132110595703125
1419559740.2597234249;-80.7366485595703125;-80.7366485595703125
1419563536.4635195732;-81.9665374755859375;-81.9665374755859375
1419567332.6673157215;-83.9047393798828125;-83.9047393798828125
1419571128.8711118698;-86.52671051025390625;-86.52671051025390625
1419574925.0749080181;-90.04852294921875;-90.04852294921875
1419578721.2787041664;-93.4166107177734375;-93.4166107177734375
1419582517.4825003147;-95.704620361328125;-95.704620361328125
1419586313.686296463;-93.601409912109375;-93.601409912109375
1419590109.8900926113;-90.963653564453125;-90.963653564453125
1419593906.0938887596;-88.260498046875;-88.260498046875
1419597702.2976849079;-86.20192718505859375;-86.20192718505859375
1419601498.5014810562;-84.60503387451171875;-84.60503387451171875
1419605294.7052772045;-83.0324554443359375;-83.0324554443359375
1419609090.9090733528;-81.4442291259765625;-81.4442291259765625
1419612887.1128695011;-79.45548248291015625;-79.45548248291015625
1419616683.3166656494;-77.42250823974609375;-77.42250823974609375
1419620479.5204617977;-75.5279083251953125;-75.5279083251953125
1419624275.724257946;-73.9929962158203125;-73.9929962158203125
1419628071.9280540943;-72.82460784912109375;-72.82460784912109375
1419631868.1318502426;-72.1037750244140625;-72.1037750244140625
1419635664.3356463909;-71.80249786376953125;-71.80249786376953125
1419639460.5394425392;-71.787322998046875;-71.787322998046875
